回,問番号,科目,テーマ,テーマ出題数_10年,テーマ出題回数_10年,設問形式,計算問題,図構造式,選択肢数,問題文字数,問題文,選択肢1,選択肢2,選択肢3,選択肢4,選択肢5,正答,正答率,類題
103,62,病態・薬物治療,呼吸器・アレルギー疾患,12,7,肯定形,,,5,30,アトピー性皮膚炎の初期治療として適切なのはどれか。1つ選べ。,ベタメタゾン酪酸エステルプロピオン酸エステルの外用,プレドニゾロンの内服,タクロリムス水和物の内服,フェキソフェナジン塩酸塩の内服,ルリコナゾールの外用,1,,102-62 103-61 104-64 104-69 105-61 105-64 105-70 107-66 108-64 110-61 110-67
103,63,病態・薬物治療,代謝・内分泌疾患,15,7,肯定形,,,5,27,白内障に関する記述のうち、正しいのはどれか。1つ選べ。,若い女性に好発する。,発症の最大のリスク因子は喫煙である。,無痛性の視力低下を伴う。,水晶体の混濁は薬物治療で完治できる。,副腎皮質ステロイド薬の内服が有効である。,3,,102-59 103-59 103-65 106-60 107-65 109-58 109-62 109-64 109-65 110-62 110-63 111-56 111-62 111-63
103,64,病態・薬物治療,免疫・膠原病・血液疾患,8,8,否定形,,,5,32,関節リウマチに関する記述のうち、誤っているのはどれか。1つ選べ。,自己免疫疾患である。,罹患率は男性が女性に比べて高い。,多様な関節外症状を呈する。,関節炎は多発性で対称性である。,早期診断に抗環状シトルリン化ペプチド（抗 CCP）抗体の検査が有用である。,2,,102-58 105-65 106-61 107-56 108-57 109-60 111-66
103,65,病態・薬物治療,代謝・内分泌疾患,15,7,否定形,,,5,32,重症筋無力症に関する記述のうち、誤っているのはどれか。1つ選べ。,アセチルコリンに対する自己抗体が産生される。,20代から40代の女性に好発する。,筋力低下に日内変動がある。,副腎皮質ステロイド薬による治療が行われる。,重症例では、呼吸筋麻痺を起こす。,1,,102-59 103-59 103-63 106-60 107-65 109-58 109-62 109-64 109-65 110-62 110-63 111-56 111-62 111-63
103,66,病態・薬物治療,医薬品情報・EBM,11,7,肯定形,,,5,37,医薬品インタビューフォームに関する記述のうち、正しいのはどれか。1つ選べ。,医薬品医療機器等法で定められた公文書である。,医療用医薬品添付文書を補完する三次資料である。,記載事項は医療用医薬品添付文書と同一である。,独立行政法人医薬品医療機器総合機構（PMDA）が作成し、提供している。,厚生労働省が記載要領を策定している。,2,,102-67 104-67 104-68 104-70 107-68 107-69 109-68 109-70 110-69 111-70
103,67,病態・薬物治療,臨床統計・研究デザイン,8,7,肯定形,,,5,79,エビデンスの明らかな情報を臨床現場で活用することを目的とし、治療や予防に関する無作為化比較試験のシステマティックレビューなどを収載したものはどれか。1つ選べ。,TOXLINE,Drug Safety Update,MEDLINE,Cochrane Library,Physiciansʼ Desk Reference,4,,102-68 105-68 105-69 106-70 108-70 109-69 111-69
103,68,病態・薬物治療,副作用・薬剤性疾患,18,9,肯定形,,,5,58,出血リスクの高い手術を予定されている患者で、手術前7日もしくはそれ以前からの休薬を提案すべきものはどれか。1つ選べ。,アスピリン,アトルバスタチン,エナラプリル,シタグリプチン,ボグリボース,1,,103-70 104-58 105-58 106-56 106-68 107-57 108-58 108-60 108-65 108-66 108-69 109-59 109-61 110-57 110-58 111-57 111-65
103,69,病態・薬物治療,腎・泌尿器疾患,5,5,肯定形,,,5,20,妊娠に伴い低下するのはどれか。1つ選べ。,胃内 pH,糸球体濾過速度,心拍出量,肝血流量,血清アルブミン濃度,5,,104-56 106-62 109-63 111-60
103,70,病態・薬物治療,副作用・薬剤性疾患,18,9,肯定形,,,5,34,重篤な腎機能障害のある患者に禁忌となっている薬物はどれか。1つ選べ。,アレンドロン酸,チクロピジン,メトトレキサート,クエチアピン,シルニジピン,3,,103-68 104-58 105-58 106-56 106-68 107-57 108-58 108-60 108-65 108-66 108-69 109-59 109-61 110-57 110-58 111-57 111-65
103,71,法規・制度・倫理,法体系・憲法,5,5,肯定形,,,5,29,法律の規定を実施するため内閣が定めるのはどれか。1つ選べ。,憲法,政令,省令,条例,条約,2,,102-71 106-74 107-73 108-74
103,72,法規・制度・倫理,医療法・医療提供体制,7,7,肯定形,,,5,27,病院が必ず有しなければならない施設はどれか。1つ選べ。,集中治療室,病理の検査施設,調剤所,研究室,病理解剖室,3,,102-74 104-77 105-76 107-80 110-76 111-74
103,73,法規・制度・倫理,薬機法・医薬品の分類,18,9,肯定形,,,5,29,薬局において、登録販売者が販売できるのはどれか。1つ選べ。,薬局製造販売医薬品,要指導医薬品,第一類医薬品,指定第二類医薬品,処方箋医薬品,4,,103-74 103-80 104-76 104-78 105-75 105-78 105-80 106-80 107-77 108-76 109-74 109-75 110-72 110-73 110-75 111-71 111-75
103,74,法規・制度・倫理,薬機法・医薬品の分類,18,9,肯定形,,,5,24,医薬品等に係る GVP は何の基準か。1つ選べ。,安全性に関する非臨床試験の実施,臨床試験の実施,製造管理及び品質管理,製造販売後の調査及び試験の実施,製造販売後安全管理,5,,103-73 103-80 104-76 104-78 105-75 105-78 105-80 106-80 107-77 108-76 109-74 109-75 110-72 110-73 110-75 111-71 111-75
103,75,法規・制度・倫理,薬学史・薬害,6,5,肯定形,,,5,44,薬害エイズの原因となった非加熱濃縮血液製剤を用いて治療されていた疾患はどれか。1つ選べ。,血友病,マラリア,C 型肝炎,多発性骨髄腫,ハンセン病,1,,102-77 107-74 108-72 108-75 111-73
103,76,法規・制度・倫理,販売制度・リスク区分,4,3,肯定形,,,5,21,国民医療費に含まれるのはどれか。1つ選べ。,帝王切開による分娩,一般用医薬品の購入,特定健康診査の受診,肺炎球菌感染症の予防接種,介護保険法におけるリハビリテーション,1,,104-72 109-76 109-78
103,77,法規・制度・倫理,倫理・臨床研究,9,8,肯定形,,,5,64,臨床試験のうち、少数の健康な成人志願者を被験者として、忍容性、薬物動態などを中心に検討することを目的とするのはどれか。1つ選べ。,探索的試験,臨床薬理試験,検証的試験,有効性比較試験,医療経済学的試験,2,,102-79 103-78 104-79 106-71 107-79 108-79 109-72 110-78
103,78,法規・制度・倫理,倫理・臨床研究,9,8,否定形,,,5,35,治験における被験者候補への説明として、適切でないのはどれか。1つ選べ。,あなた自身の治療方法として最善のものです。,参加しなくても不利益は受けません。,参加する場合には守っていただくことがあります。,参加しても途中でやめることができます。,医薬品の開発に役立つものです。,1,,102-79 103-77 104-79 106-71 107-79 108-79 109-72 110-78
103,79,法規・制度・倫理,毒薬・劇薬・毒物劇物,5,5,肯定形,,,5,58,生前に、終末期の延命措置に関することについて、意思表示をしておくことを表す語句として最も適切なのはどれか。1つ選べ。,セカンドオピニオン,インフォームドコンセント,クリニカルパス,リビングウィル,コンプライアンス,4,,104-73 105-72 107-75 110-74
103,80,法規・制度・倫理,薬機法・医薬品の分類,18,9,肯定形,,○,5,27,ヘルシンキ宣言の理念に準拠した基準はどれか。1つ選べ。,GLP,GCP,QMS,GQP,GMP,2,,103-73 103-74 104-76 104-78 105-75 105-78 105-80 106-80 107-77 108-76 109-74 109-75 110-72 110-73 110-75 111-71 111-75
103,81,実務,注射・無菌調製・配合変化,11,6,肯定形,,,5,21,皮下注射で投与されるのはどれか。1つ選べ。,BCG ワクチン,インフルエンザワクチン,パクリタキセル注射液,ハロペリドール注射液,フェニトインナトリウム注射液,2,,103-85 103-90 104-83 107-84 107-85 108-82 108-85 109-82 111-81 111-83
103,82,実務,副作用モニタリング・禁忌,8,6,肯定形,,,5,68,添付文書の「警告」や「禁忌」に追加する情報を迅速に伝達するために、厚生労働省の指示のもとに製造販売業者が作成する文書はどれか。1つ選べ。,医療用医薬品製品情報概要,イエローレター,医薬品安全対策情報,医薬品・医療機器等安全性情報,医薬品インタビューフォーム,2,,104-90 106-85 106-86 108-84 110-87 110-90 111-84
103,83,実務,治験・臨床研究の実務,5,5,肯定形,,,5,51,医療機関において治験責任医師の重要な協力者として治験全体の調整を担うスタッフの名称はどれか。1つ選べ。,Clinical Research Associate,Clinical Research Coordinator,Coordinating Investigator,Principal Investigator,Site Management Associate,2,,102-81 104-82 107-81 111-85
103,84,実務,TDM・検査値の活用,2,2,肯定形,,○,5,74,に当てはまる最も適切な臨床検査値はどれか。1つ選べ。がん化学療法などの副作用の1つに骨髄抑制があり、特にが減少すると、感染症の発症リスクが高くなる。,EO （好酸球比率）,SEG （分節核（分葉核）好中球比率）,PLT （血小板数）,RBC（赤血球数）,Hb （ヘモグロビン濃度）,2,,106-87
103,85,実務,注射・無菌調製・配合変化,11,6,否定形,,,5,86,病棟で保管する以下の薬物を含む注射液のうち、夜間や休日等で必要な注意をする医療従事者がいない場合、保管するロッカーや引き出し等に施錠しなければならないのはどれか。1つ選べ。,ゲンタマイシン硫酸塩,コンドロイチン硫酸エステルナトリウム,サリチル酸ナトリウム,フルルビプロフェンアキセチル,ペンタゾシン,5,,103-81 103-90 104-83 107-84 107-85 108-82 108-85 109-82 111-81 111-83
103,86,実務,妊婦・授乳婦・小児への薬物療法,3,3,肯定形,,,5,53,27歳女性。現在、妊娠している。感染性膀胱炎と診断された。治療薬として最も推奨されるのはどれか。1つ選べ。,ミノサイクリン塩酸塩,イトラコナゾール,セフカペンピボキシル塩酸塩,レボフロキサシン水和物,スルファメトキサゾール・トリメトプリム,3,,102-84 105-83
103,87,実務,在宅・地域・セルフメディケーション,10,7,肯定形,,,5,157,地域包括ケアシステムに関する以下の文のに当てはまるのはどれか。1つ選べ。団塊の世代が75歳以上となる2025年を目途に、重度な要介護状態となっても住み慣れた地域で自分らしい暮らしを人生の最後まで続けることができるよう、住まい・医療・介護・・生活支援が一体的に提供される地域包括ケアシステムの構築を実現していきます。,教育,出産,生業,予防,葬祭,4,,102-89 105-90 107-89 108-87 109-83 109-86 110-81 110-84 110-85
103,88,実務,消毒・感染対策,9,8,肯定形,,,5,23,内視鏡の消毒に使用されるのはどれか。1つ選べ。,グルタラール,消毒用エタノール,次亜塩素酸ナトリウム,ベンザルコニウム塩化物,ポビドンヨード,1,,102-86 104-84 105-85 107-86 108-86 108-88 109-88 111-87
103,89,実務,服薬指導・製剤の取扱い,12,9,肯定形,,,5,60,眠気が起こることがあるので、自動車運転等、危険作業を行う際に注意するよう指導する必要性が最も低い薬物はどれか。1つ選べ。,ブロチゾラム,プレガバリン,アモキサピン,d︲クロルフェニラミンマレイン酸塩,安息香酸ナトリウムカフェイン,5,,102-85 105-88 106-82 106-88 107-87 107-88 108-89 109-81 109-85 110-83 111-88
103,90,実務,注射・無菌調製・配合変化,11,6,肯定形,,,5,60,次の抗がん薬のうち、調製者の曝露防止のため、閉鎖式の薬物混合器具を使用して調製する必要性が最も低いのはどれか。1つ選べ。,シスプラチン,シクロホスファミド,ベンダムスチン,イホスファミド,リツキシマブ,5,,103-81 103-85 104-83 107-84 107-85 108-82 108-85 109-82 111-81 111-83
104,1,物理,放射化学,4,3,肯定形,,○,5,38,親核種よりも原子番号が1つ小さい娘核種を生成する放射壊変はどれか。1つ選べ。,a 壊変,b- 壊変,b+ 壊変,c 転移（核異性体転移）,自発核分裂,3,,102-3 104-5 109-3
104,2,物理,容量分析・日局一般試験法,5,5,肯定形,○,,5,137,濃度未知の水酸化ナトリウム水溶液を、0 . 01 mol/L 塩酸標準液（ファクター f = 1 . 020）を用いて滴定したところ、滴定終点までに6 . 10 mL を要した。この水酸化ナトリウム水溶液中の水酸化ナトリウムの量（nmol）として適切なのはどれか。1つ選べ。,59 . 80,59 . 8,61 . 00,62 . 2,62 . 22,4,,102-4 105-2 106-1 108-4
104,3,物理,物質の状態・相平衡,3,3,肯定形,○,○,5,68,図は水の状態を示したものである。点Ｔにおけるギブスの相律の自由度（Ｆ）の値として、正しいのはどれか。1つ選べ。液体圧力固体 Ｔ 気体温度,0,1,2,3,4,1,,103-3 108-1
104,4,物理,電気化学・分子間相互作用,7,5,肯定形,,,5,33,強酸性陽イオン交換樹脂に最も強く結合するイオンはどれか。1つ選べ。,塩化物イオン,カルシウムイオン,グリシン（双性イオン）,硫酸イオン,ナトリウムイオン,2,,102-2 106-4 106-5 109-1 109-2 110-1
104,5,物理,放射化学,4,3,肯定形,,,5,23,反射波を利用する画像診断法はどれか。1つ選べ。,X 線 CT,MRI,超音波診断法,陽電子放射断層撮影法（PET）,単一光子放射断層撮影法（SPECT）,3,,102-3 104-1 109-3
104,6,化学,無機・電子論,6,6,肯定形,,,5,39,炭素原子の最外壳に収容されている電子数が7である反応中間体はどれか。1つ選べ。,H3C－,H3C＋,H3C,H2C （一重項）,H2C （三重項）,3,,103-9 107-9 108-10 109-7 110-7
104,7,化学,酸塩基性・官能基,5,5,肯定形,,○,,58,最も塩基性が強い化合物はどれか。1つ選べ。 NH O H2N NH2 H3C NH2 H3C NH2 N H N N,,,,,,1,,102-10 103-10 110-8 111-6
104,8,化学,立体化学,7,7,肯定形,,○,,127,ブタンの C2︲C3結合を回転させた際に生じる立体配座のうち、最も安定なのはどれか。1つ選べ。 CH3 H H H H3C H CH3 H H H H CH3 CH3 CH3 H H H H H H H H3C H3C H H H H3C H H CH3,,,,,,1,,102-7 103-7 105-9 106-8 107-8 108-9
104,9,化学,芳香族・共役系,4,3,肯定形,,○,,47,ヒスタミンに含まれる複素環はどれか。1つ選べ。 N N N N N N N N H N N H,,,,,,5,,103-8 111-8 111-9
104,10,化学,未分類,6,6,肯定形,,,5,26,ショウガの根茎に含まれる辛味成分はどれか。1つ選べ。,カプサイシン,［6］︲ギンゲロール,a︲サンショオール,シンナムアルデヒド,ピペリン,2,,102-6 106-6 108-7 109-8 110-9
104,11,生物,人体の構造と機能,13,8,肯定形,,○,,40,図は聴覚器の断面の模式図である。1～5のうち、鼓膜はどれか。1つ選べ。耳介外耳道,,,,,,5,,102-11 103-11 104-12 105-11 105-14 108-11 108-12 109-11 109-12 109-14 110-11 111-11
104,12,生物,人体の構造と機能,13,8,肯定形,,,5,46,末梢組織から肝臓へのコレステロールの輸送を主として担う血漿リポタンパク質はどれか。1つ選べ。,キロミクロン,超低密度リポタンパク質（VLDL）,中間密度リポタンパク質（IDL）,低密度リポタンパク質（LDL）,高密度リポタンパク質（HDL）,5,,102-11 103-11 104-11 105-11 105-14 108-11 108-12 109-11 109-12 109-14 110-11 111-11
104,13,生物,遺伝子・分子生物学,10,6,肯定形,,○,,164,RNA を構成する D︲リボースはどれか。1つ選べ。 H HO CH2OH O H OH H H OH H OH HO H CH2OH O H OH H H OH H OH HOH2C O H H H OH H OH H HOH2C O OH HOH2C O CH2OH H H H H H H HO OH OH OH OH H,,,,,,4,,102-13 103-13 104-14 107-13 107-14 110-13 110-14 110-15 111-15
104,14,生物,遺伝子・分子生物学,10,6,肯定形,,,5,49,ヒト染色体において、ヌクレオソームを形成する際に、DNA が巻きつくタンパク質はどれか。1つ選べ。,アクチン,ケラチン,コラーゲン,チューブリン,ヒストン,5,,102-13 103-13 104-13 107-13 107-14 110-13 110-14 110-15 111-15
104,15,生物,免疫,8,7,肯定形,,○,5,41,母乳中で二量体として存在し、乳児の感染防御を担う免疫グロブリンはどれか。1つ選べ。,IgA,IgD,IgE,IgG,IgM,1,,102-15 103-14 105-15 108-13 108-15 109-15 111-13
104,16,衛生,食中毒・食品衛生,19,9,肯定形,,,5,56,次のうち、食品に含まれる硝酸塩と第二級アミンから、消化の過程で胃内において生成する発がん物質はどれか。1つ選べ。,ジメチルニトロソアミン,Trp︲P︲1,アフラトキシン B1,サイカシン,プタキロシド,1,,102-16 102-17 102-18 103-17 103-18 104-17 105-16 105-18 107-17 107-18 107-20 108-18 108-19 108-20 109-20 110-19 110-20 111-21
104,17,衛生,食中毒・食品衛生,19,9,肯定形,,,5,24,感染型食中毒の原因となる細菌はどれか。1つ選べ。,Staphylococcus aureus,Clostridium botulinum,Aspergillus flavus,Kudoa septempunctata,Campylobacter jejuni,5,,102-16 102-17 102-18 103-17 103-18 104-16 105-16 105-18 107-17 107-18 107-20 108-18 108-19 108-20 109-20 110-19 110-20 111-21
104,18,衛生,感染症・予防接種,10,9,肯定形,,,5,24,原虫を病原体とする再興感染症はどれか。1つ選べ。,クリプトスポリジウム症,マラリア,重症急性呼吸器症候群（SARS）,中東呼吸器症候群（MERS）,コレラ,2,,102-19 103-19 105-19 105-20 106-18 108-16 109-17 110-17 111-16
104,19,衛生,予防・保健制度,2,2,肯定形,,,5,50,ロコモティブシンドローム（運動器症候群）の主な要因となる疾患として、最も適切なのはどれか。1つ選べ。,脂質異常症,COPD,高血圧症,骨粗しょう症,逆流性食道炎,4,,103-20
104,20,衛生,保健統計・人口,4,4,否定形,,,5,35,ある地域の1年間の人口動態を調べる際、必要でないのはどれか。1つ選べ。,出生数,死亡数,老年人口,婚姻数,離婚数,3,,105-21 106-16 110-16
104,21,衛生,環境衛生,22,10,肯定形,,,5,47,次のうち、地球温暖化係数は最も小さいが、地球温暖化への寄与度が最も大きいのはどれか。1つ選べ。,メタン,二酸化炭素,一酸化二窒素,ハイドロフルオロカーボン,六フッ化硫黄,2,,102-24 102-25 103-24 103-25 104-24 104-25 105-25 106-23 106-24 106-25 107-25 108-17 108-23 108-24 108-25 109-18 109-25 110-23 110-24 110-25 111-24
104,22,衛生,化学物質の毒性・解毒,20,10,肯定形,,,5,49,化学物質の審査及び製造等の規制に関する法律（化審法）で定める第一種特定化学物質はどれか。1つ選べ。,クロロホルム,四塩化炭素,ポリ塩化ビフェニル,"2 , 3 , 7 , 8︲テトラクロロジベンゾ︲p︲ジオキシン",スクラロース,3,,102-21 103-21 103-22 104-23 105-17 105-22 105-24 106-21 106-22 107-22 107-23 107-24 108-22 109-22 110-18 110-21 111-22 111-23 111-25
104,23,衛生,化学物質の毒性・解毒,20,10,肯定形,,,5,48,湖沼の富栄養化の進行に伴い、アオコを形成する藍藻類が産生し、肝毒性を示す物質はどれか。1つ選べ。,ペンタクロロフェノール,ジクロラミン,ミクロシスチン,ジェオスミン,2︲メチルイソボルネオール,3,,102-21 103-21 103-22 104-22 105-17 105-22 105-24 106-21 106-22 107-22 107-23 107-24 108-22 109-22 110-18 110-21 111-22 111-23 111-25
104,24,衛生,環境衛生,22,10,肯定形,,,5,60,体内組織の酸素欠乏を起こしやすく、建築物環境衛生管理基準が10 ppm 以下となっている室内汚染物質はどれか。1つ選べ。,一酸化炭素,二酸化炭素,アンモニア,二酸化窒素,二酸化硫黄,1,,102-24 102-25 103-24 103-25 104-21 104-25 105-25 106-23 106-24 106-25 107-25 108-17 108-23 108-24 108-25 109-18 109-25 110-23 110-24 110-25 111-24
104,25,衛生,環境衛生,22,10,肯定形,,,5,50,水域における生活環境の保全に関する環境基準において、河川にのみ定められている項目はどれか。1つ選べ。,水素イオン濃度（pH）,生物化学的酸素要求量（BOD）,化学的酸素要求量（COD）,浮遊物質量（SS）,溶存酸素量（DO）,2,,102-24 102-25 103-24 103-25 104-21 104-24 105-25 106-23 106-24 106-25 107-25 108-17 108-23 108-24 108-25 109-18 109-25 110-23 110-24 110-25 111-24
104,26,薬理,薬理学総論,9,5,肯定形,,,5,39,アゴニストの用量︲反応曲線が低用量側にあるほど値が大きいのはどれか。1つ選べ。,ED50,LD50,KD,pA2,pD2,5,,102-26 104-29 104-37 105-26 105-34 105-39 106-26 110-30
104,27,薬理,自律神経作用薬,38,10,肯定形,,,5,54,ムスカリン性アセチルコリン受容体を選択的に刺激することで、消化管や膀胱の運動を亢進するのはどれか。1つ選べ。,ベタネコール,オキシブチニン,チオトロピウム,ネオスチグミン,ピレンゼピン,1,,102-27 102-29 103-26 103-28 103-29 103-30 104-28 104-33 104-40 105-28 105-29 105-37 106-27 106-28 106-35 106-40 107-26 107-27 107-28 107-29 108-27 108-28 108-34 108-36 108-40 109-26 109-27 109-34 109-35 110-26 110-27 110-28 110-29 110-31 111-26 111-33 111-35
104,28,薬理,自律神経作用薬,38,10,肯定形,,,5,66,自律神経節を遮断した時、交感神経節後線維の神経終末からのアセチルコリンの遊離が低下する効果器として、最も適切なのはどれか。1つ選べ。,心臓,汗腺,毛様体,消化管,瞳孔,2,,102-27 102-29 103-26 103-28 103-29 103-30 104-27 104-33 104-40 105-28 105-29 105-37 106-27 106-28 106-35 106-40 107-26 107-27 107-28 107-29 108-27 108-28 108-34 108-36 108-40 109-26 109-27 109-34 109-35 110-26 110-27 110-28 110-29 110-31 111-26 111-33 111-35
104,29,薬理,薬理学総論,9,5,肯定形,,,5,43,メラトニン受容体を刺激することで不眠症における入眠困難を改善するのはどれか。1つ選べ。,ブロモバレリル尿素,ゾルピデム,スボレキサント,リルマザホン,ラメルテオン,5,,102-26 104-26 104-37 105-26 105-34 105-39 106-26 110-30
104,30,薬理,中枢神経作用薬,25,9,肯定形,,,5,45,主に電位依存性 Na+ チャネルを遮断することで抗てんかん作用を示すのはどれか。1つ選べ。,エトスクシミド,ジアゼパム,ラモトリギン,ガバペンチン,フェノバルビタール,3,,102-30 103-27 103-31 103-32 103-33 103-36 104-32 104-34 105-27 105-30 105-31 105-32 106-29 106-30 106-36 107-30 109-28 110-32 110-36 111-27 111-28 111-29 111-30 111-31
104,31,薬理,循環器作用薬,15,9,肯定形,,,5,37,Ca2+ チャネルを遮断することで抗不整脈作用を示すのはどれか。1つ選べ。,アテノロール,フレカイニド,リドカイン,ソタロール,ベラパミル,5,,102-28 102-31 102-32 103-34 103-35 106-33 107-33 107-35 108-31 108-32 109-31 109-33 110-34 111-32
104,32,薬理,中枢神経作用薬,25,9,肯定形,,,5,68,c︲アミノ酪酸 GABAA 受容体のベンゾジアゼピン結合部位に結合し、ベンゾジアゼピン系薬による呼吸抑制を改善するのはどれか。1つ選べ。,デキストロメトルファン,アセチルシステイン,ドキサプラム,フルマゼニル,イプラトロピウム,4,,102-30 103-27 103-31 103-32 103-33 103-36 104-30 104-34 105-27 105-30 105-31 105-32 106-29 106-30 106-36 107-30 109-28 110-32 110-36 111-27 111-28 111-29 111-30 111-31
104,33,薬理,自律神経作用薬,38,10,肯定形,,,5,30,モサプリドによる消化管運動亢進の作用機序はどれか。1つ選べ。,セロトニン5︲HT3受容体遮断,セロトニン5︲HT4受容体刺激,オピオイド n 受容体刺激,アセチルコリンエステラーゼ阻害,ムスカリン性アセチルコリン M3受容体刺激,2,,102-27 102-29 103-26 103-28 103-29 103-30 104-27 104-28 104-40 105-28 105-29 105-37 106-27 106-28 106-35 106-40 107-26 107-27 107-28 107-29 108-27 108-28 108-34 108-36 108-40 109-26 109-27 109-34 109-35 110-26 110-27 110-28 110-29 110-31 111-26 111-33 111-35
104,34,薬理,中枢神経作用薬,25,9,肯定形,,,5,33,カモスタットの急性膵炎治療効果に関わる作用機序はどれか。1つ選べ。,H+，K+︲ATPase 阻害,セロトニン5︲HT3受容体遮断,ヒスタミン H2受容体遮断,タンパク質分解酵素阻害,シクロオキシゲナーゼ阻害,4,,102-30 103-27 103-31 103-32 103-33 103-36 104-30 104-32 105-27 105-30 105-31 105-32 106-29 106-30 106-36 107-30 109-28 110-32 110-36 111-27 111-28 111-29 111-30 111-31
104,35,薬理,未分類,9,6,肯定形,,,5,31,キサンチンオキシダーゼを選択的に阻害するのはどれか。1つ選べ。,ベンズブロマロン,アロプリノール,コルヒチン,ラスブリカーゼ,プロベネシド,2,,102-34 105-33 107-34 107-40 108-26 109-30 109-32 109-38
104,36,薬理,血液・造血薬,5,5,肯定形,,,5,33,サルポグレラートによる血小板凝集抑制の作用機序はどれか。1つ選べ。,プロスタノイド IP 受容体刺激,セロトニン5︲HT2受容体遮断,シクロオキシゲナーゼ阻害,ホスホジエステラーゼⅢ阻害,トロンボキサン合成酵素阻害,2,,102-37 108-33 110-35 111-34
104,37,薬理,薬理学総論,9,5,肯定形,,,5,50,TNF︲a に特異的に結合することで、TNF︲a とその受容体の結合を阻害するのはどれか。1つ選べ。,インフリキシマブ,プレドニゾロン,トシリズマブ,アバタセプト,トファシチニブ,1,,102-26 104-26 104-29 105-26 105-34 105-39 106-26 110-30
104,38,薬理,炎症・アレルギー・免疫薬,5,4,肯定形,,,5,45,プロスタノイド TP 受容体を遮断することで、抗アレルギー作用を示すのはどれか。1つ選べ。,プランルカスト,オザグレル,セラトロダスト,クロモグリク酸,メキタジン,3,,102-38 108-29 108-30 109-29
104,39,薬理,抗菌・抗ウイルス・抗真菌薬,5,5,肯定形,,,5,26,アンピシリンによる抗菌作用の標的はどれか。1つ選べ。,細胞膜リン脂質,DNA 依存性 RNA ポリメラーゼ,リボソーム30S サブユニット,リボソーム50S サブユニット,トランスペプチダーゼ,5,,102-39 109-39 110-39 111-39
104,40,薬理,自律神経作用薬,38,10,肯定形,,○,5,62,以下に示す化学構造の薬物が結合し、鎮痛作用を引き起こす作用点はどれか。1つ選べ。 CH3 H N H HO O H H OH,c︲アミノ酪酸 GABAA 受容体︲Cl- チャネル複合体,ドパミン D2受容体,オピオイド n 受容体,ムスカリン性アセチルコリン受容体,シクロオキシゲナーゼ,3,,102-27 102-29 103-26 103-28 103-29 103-30 104-27 104-28 104-33 105-28 105-29 105-37 106-27 106-28 106-35 106-40 107-26 107-27 107-28 107-29 108-27 108-28 108-34 108-36 108-40 109-26 109-27 109-34 109-35 110-26 110-27 110-28 110-29 110-31 111-26 111-33 111-35
104,41,薬剤,薬物動態パラメータ・計算,26,10,肯定形,,○,5,92,経口投与された薬物のバイオアベイラビリティを表す式はどれか。1つ選べ。ただし、消化管管腔内からの吸収率を Fa、消化管及び肝臓での消失を免れた割合をそれぞれ Fg 及び Fh とする。,Fa・Fg/Fh,Fa・Fg・Fh,Fa・Fg・（1 - Fh）,Fa・（Fg + Fh）,Fa + Fg + Fh,2,,102-44 102-45 102-46 102-47 102-48 103-43 103-46 103-47 104-46 104-47 105-45 105-46 105-47 106-43 106-46 106-47 107-45 108-46 109-46 110-46 110-47 110-48 111-43 111-45 111-46
104,42,薬剤,吸収・膜透過,28,10,肯定形,,,5,19,一次性能動輸送担体はどれか。1つ選べ。,グルコーストランスポーター GLUT1,P︲糖タンパク質 MDR1,有機アニオントランスポーター OAT1,H+/ペプチド共輸送体 PEPT1,Na+/グルコース共輸送体 SGLT2,2,,102-42 102-54 103-41 103-42 103-55 105-41 105-52 105-54 106-41 106-42 106-48 107-41 107-42 107-51 107-55 108-41 108-42 108-54 108-55 109-41 109-42 109-51 110-42 110-54 111-41 111-42 111-52
104,43,薬剤,未分類,6,5,肯定形,,,5,27,母体から胎児への移行性が最も低いのはどれか。1つ選べ。,インスリン,エタノール,グルコース,チオペンタール,バルプロ酸,1,,105-49 105-55 106-51 108-51 110-41
104,44,薬剤,代謝,14,10,肯定形,,,5,37,体内からの消失が主に CYP1A2による代謝である薬物はどれか。1つ選べ。,テオフィリン,デキストロメトルファン,ファモチジン,フェロジピン,ワルファリン,1,,102-43 103-44 103-45 104-55 105-43 105-44 106-44 107-44 108-44 108-47 109-44 110-44 111-44
104,45,薬剤,排泄,7,7,肯定形,,,5,33,ネフロンでの能動的な薬物の分泌を行う主要な部位はどれか。1つ選べ。,遠位尿細管,近位尿細管,糸球体,ヘンレ係蹄上行脚,ボーマン嚢,2,,102-41 106-45 107-46 108-45 109-45 110-45
104,46,薬剤,薬物動態パラメータ・計算,26,10,肯定形,○,,5,113,体内動態が線形1︲コンパートメントモデルに従う薬物100 mg を急速静脈内投与したとき、投与直後の血中濃度が2 mg/L、消失速度定数が0 . 1 hr―1であった。この薬物の全身クリアランス（L/hr）はどれか。1つ選べ。,0 .,2 2,5,7,20,3,,102-44 102-45 102-46 102-47 102-48 103-43 103-46 103-47 104-41 104-47 105-45 105-46 105-47 106-43 106-46 106-47 107-45 108-46 109-46 110-46 110-47 110-48 111-43 111-45 111-46
