#separator:tab
#html:true
#columns:Front	Back	Tags
【第102回 問1】物理・分析の基礎・バリデーション<br><br>次の関係式のうち、正しいのはどれか。1つ選べ。<br><br>1. 1kHz ＝ 1× 10□Hz<br>2. 1nm ＝ 1× 10□□m<br>3. 1ppm ＝ 1× 10□□％<br>4. 1μg ＝ 1× 10□□g<br>5. 1w/v％ ＝ 1× 10□g/L	<b>正答：2</b><br>1nm ＝ 1× 10□□m<br><br>テーマ：分析の基礎・バリデーション（10年10問・6/10回）	薬剤師国家試験 必須問題 科目::物理 テーマ::分析の基礎_バリデーション 第102回
【第103回 問89】実務・服薬指導・製剤の取扱い<br><br>眠気が起こることがあるので、自動車運転等、危険作業を行う際に注意するよう指導する必要性が最も低い薬物はどれか。1つ選べ。<br><br>1. ブロチゾラム<br>2. プレガバリン<br>3. アモキサピン<br>4. d︲クロルフェニラミンマレイン酸塩<br>5. 安息香酸ナトリウムカフェイン	<b>正答：5</b><br>安息香酸ナトリウムカフェイン<br><br>テーマ：服薬指導・製剤の取扱い（10年12問・9/10回）	薬剤師国家試験 必須問題 科目::実務 テーマ::服薬指導_製剤の取扱い 第103回
【第103回 問90】実務・注射・無菌調製・配合変化<br><br>次の抗がん薬のうち、調製者の曝露防止のため、閉鎖式の薬物混合器具を使用して調製する必要性が最も低いのはどれか。1つ選べ。<br><br>1. シスプラチン<br>2. シクロホスファミド<br>3. ベンダムスチン<br>4. イホスファミド<br>5. リツキシマブ	<b>正答：5</b><br>リツキシマブ<br><br>テーマ：注射・無菌調製・配合変化（10年11問・6/10回）	薬剤師国家試験 必須問題 科目::実務 テーマ::注射_無菌調製_配合変化 第103回
【第104回 問1】物理・放射化学　📐図・構造式<br><br>親核種よりも原子番号が1つ小さい娘核種を生成する放射壊変はどれか。1つ選べ。<br><br>1. a 壊変<br>2. b- 壊変<br>3. b+ 壊変<br>4. c 転移（核異性体転移）<br>5. 自発核分裂	<b>正答：3</b><br>b+ 壊変<br><br>テーマ：放射化学（10年4問・3/10回）	薬剤師国家試験 必須問題 科目::物理 テーマ::放射化学 第104回 flag::図
【第104回 問2】物理・容量分析・日局一般試験法　🔢計算<br><br>濃度未知の水酸化ナトリウム水溶液を、0 . 01 mol/L 塩酸標準液（ファクター f = 1 . 020）を用いて滴定したところ、滴定終点までに6 . 10 mL を要した。この水酸化ナトリウム水溶液中の水酸化ナトリウムの量（nmol）として適切なのはどれか。1つ選べ。<br><br>1. 59 . 80<br>2. 59 . 8<br>3. 61 . 00<br>4. 62 . 2<br>5. 62 . 22	<b>正答：4</b><br>62 . 2<br><br>テーマ：容量分析・日局一般試験法（10年5問・5/10回）	薬剤師国家試験 必須問題 科目::物理 テーマ::容量分析_日局一般試験法 第104回 flag::計算
【第104回 問3】物理・物質の状態・相平衡　🔢計算 📐図・構造式<br><br>図は水の状態を示したものである。点Ｔにおけるギブスの相律の自由度（Ｆ）の値として、正しいのはどれか。1つ選べ。液体圧力固体 Ｔ 気体温度<br><br>1. 0<br>2. 1<br>3. 2<br>4. 3<br>5. 4	<b>正答：1</b><br>0<br><br>テーマ：物質の状態・相平衡（10年3問・3/10回）	薬剤師国家試験 必須問題 科目::物理 テーマ::物質の状態_相平衡 第104回 flag::計算 flag::図
【第104回 問4】物理・電気化学・分子間相互作用<br><br>強酸性陽イオン交換樹脂に最も強く結合するイオンはどれか。1つ選べ。<br><br>1. 塩化物イオン<br>2. カルシウムイオン<br>3. グリシン（双性イオン）<br>4. 硫酸イオン<br>5. ナトリウムイオン	<b>正答：2</b><br>カルシウムイオン<br><br>テーマ：電気化学・分子間相互作用（10年7問・5/10回）	薬剤師国家試験 必須問題 科目::物理 テーマ::電気化学_分子間相互作用 第104回
【第104回 問5】物理・放射化学<br><br>反射波を利用する画像診断法はどれか。1つ選べ。<br><br>1. X 線 CT<br>2. MRI<br>3. 超音波診断法<br>4. 陽電子放射断層撮影法（PET）<br>5. 単一光子放射断層撮影法（SPECT）	<b>正答：3</b><br>超音波診断法<br><br>テーマ：放射化学（10年4問・3/10回）	薬剤師国家試験 必須問題 科目::物理 テーマ::放射化学 第104回
【第104回 問6】化学・無機・電子論<br><br>炭素原子の最外壳に収容されている電子数が7である反応中間体はどれか。1つ選べ。<br><br>1. H3C－<br>2. H3C＋<br>3. H3C<br>4. H2C （一重項）<br>5. H2C （三重項）	<b>正答：3</b><br>H3C<br><br>テーマ：無機・電子論（10年6問・6/10回）	薬剤師国家試験 必須問題 科目::化学 テーマ::無機_電子論 第104回
【第104回 問7】化学・酸塩基性・官能基　📐図・構造式<br><br>最も塩基性が強い化合物はどれか。1つ選べ。 NH O H2N NH2 H3C NH2 H3C NH2 N H N N<br><br>※図・構造式が必要な問題です	<b>正答：1</b><br><br>テーマ：酸塩基性・官能基（10年5問・5/10回）	薬剤師国家試験 必須問題 科目::化学 テーマ::酸塩基性_官能基 第104回 flag::図
【第104回 問8】化学・立体化学　📐図・構造式<br><br>ブタンの C2︲C3結合を回転させた際に生じる立体配座のうち、最も安定なのはどれか。1つ選べ。 CH3 H H H H3C H CH3 H H H H CH3 CH3 CH3 H H H H H H H H3C H3C H H H H3C H H CH3<br><br>※図・構造式が必要な問題です	<b>正答：1</b><br><br>テーマ：立体化学（10年7問・7/10回）	薬剤師国家試験 必須問題 科目::化学 テーマ::立体化学 第104回 flag::図
【第104回 問9】化学・芳香族・共役系　📐図・構造式<br><br>ヒスタミンに含まれる複素環はどれか。1つ選べ。 N N N N N N N N H N N H<br><br>※図・構造式が必要な問題です	<b>正答：5</b><br><br>テーマ：芳香族・共役系（10年4問・3/10回）	薬剤師国家試験 必須問題 科目::化学 テーマ::芳香族_共役系 第104回 flag::図
【第104回 問10】化学・未分類<br><br>ショウガの根茎に含まれる辛味成分はどれか。1つ選べ。<br><br>1. カプサイシン<br>2. ［6］︲ギンゲロール<br>3. a︲サンショオール<br>4. シンナムアルデヒド<br>5. ピペリン	<b>正答：2</b><br>［6］︲ギンゲロール<br><br>テーマ：未分類（10年6問・6/10回）	薬剤師国家試験 必須問題 科目::化学 テーマ::未分類 第104回
【第104回 問11】生物・人体の構造と機能　📐図・構造式<br><br>図は聴覚器の断面の模式図である。1～5のうち、鼓膜はどれか。1つ選べ。耳介外耳道<br><br>※図・構造式が必要な問題です	<b>正答：5</b><br><br>テーマ：人体の構造と機能（10年13問・8/10回）	薬剤師国家試験 必須問題 科目::生物 テーマ::人体の構造と機能 第104回 flag::図
【第104回 問12】生物・人体の構造と機能<br><br>末梢組織から肝臓へのコレステロールの輸送を主として担う血漿リポタンパク質はどれか。1つ選べ。<br><br>1. キロミクロン<br>2. 超低密度リポタンパク質（VLDL）<br>3. 中間密度リポタンパク質（IDL）<br>4. 低密度リポタンパク質（LDL）<br>5. 高密度リポタンパク質（HDL）	<b>正答：5</b><br>高密度リポタンパク質（HDL）<br><br>テーマ：人体の構造と機能（10年13問・8/10回）	薬剤師国家試験 必須問題 科目::生物 テーマ::人体の構造と機能 第104回
【第104回 問13】生物・遺伝子・分子生物学　📐図・構造式<br><br>RNA を構成する D︲リボースはどれか。1つ選べ。 H HO CH2OH O H OH H H OH H OH HO H CH2OH O H OH H H OH H OH HOH2C O H H H OH H OH H HOH2C O OH HOH2C O CH2OH H H H H H H HO OH OH OH OH H<br><br>※図・構造式が必要な問題です	<b>正答：4</b><br><br>テーマ：遺伝子・分子生物学（10年10問・6/10回）	薬剤師国家試験 必須問題 科目::生物 テーマ::遺伝子_分子生物学 第104回 flag::図
【第104回 問14】生物・遺伝子・分子生物学<br><br>ヒト染色体において、ヌクレオソームを形成する際に、DNA が巻きつくタンパク質はどれか。1つ選べ。<br><br>1. アクチン<br>2. ケラチン<br>3. コラーゲン<br>4. チューブリン<br>5. ヒストン	<b>正答：5</b><br>ヒストン<br><br>テーマ：遺伝子・分子生物学（10年10問・6/10回）	薬剤師国家試験 必須問題 科目::生物 テーマ::遺伝子_分子生物学 第104回
【第104回 問15】生物・免疫　📐図・構造式<br><br>母乳中で二量体として存在し、乳児の感染防御を担う免疫グロブリンはどれか。1つ選べ。<br><br>1. IgA<br>2. IgD<br>3. IgE<br>4. IgG<br>5. IgM	<b>正答：1</b><br>IgA<br><br>テーマ：免疫（10年8問・7/10回）	薬剤師国家試験 必須問題 科目::生物 テーマ::免疫 第104回 flag::図
【第104回 問16】衛生・食中毒・食品衛生<br><br>次のうち、食品に含まれる硝酸塩と第二級アミンから、消化の過程で胃内において生成する発がん物質はどれか。1つ選べ。<br><br>1. ジメチルニトロソアミン<br>2. Trp︲P︲1<br>3. アフラトキシン B1<br>4. サイカシン<br>5. プタキロシド	<b>正答：1</b><br>ジメチルニトロソアミン<br><br>テーマ：食中毒・食品衛生（10年19問・9/10回）	薬剤師国家試験 必須問題 科目::衛生 テーマ::食中毒_食品衛生 第104回
【第104回 問17】衛生・食中毒・食品衛生<br><br>感染型食中毒の原因となる細菌はどれか。1つ選べ。<br><br>1. Staphylococcus aureus<br>2. Clostridium botulinum<br>3. Aspergillus flavus<br>4. Kudoa septempunctata<br>5. Campylobacter jejuni	<b>正答：5</b><br>Campylobacter jejuni<br><br>テーマ：食中毒・食品衛生（10年19問・9/10回）	薬剤師国家試験 必須問題 科目::衛生 テーマ::食中毒_食品衛生 第104回
【第104回 問18】衛生・感染症・予防接種<br><br>原虫を病原体とする再興感染症はどれか。1つ選べ。<br><br>1. クリプトスポリジウム症<br>2. マラリア<br>3. 重症急性呼吸器症候群（SARS）<br>4. 中東呼吸器症候群（MERS）<br>5. コレラ	<b>正答：2</b><br>マラリア<br><br>テーマ：感染症・予防接種（10年10問・9/10回）	薬剤師国家試験 必須問題 科目::衛生 テーマ::感染症_予防接種 第104回
【第104回 問19】衛生・予防・保健制度<br><br>ロコモティブシンドローム（運動器症候群）の主な要因となる疾患として、最も適切なのはどれか。1つ選べ。<br><br>1. 脂質異常症<br>2. COPD<br>3. 高血圧症<br>4. 骨粗しょう症<br>5. 逆流性食道炎	<b>正答：4</b><br>骨粗しょう症<br><br>テーマ：予防・保健制度（10年2問・2/10回）	薬剤師国家試験 必須問題 科目::衛生 テーマ::予防_保健制度 第104回
【第104回 問20】衛生・保健統計・人口　⚠️否定形<br><br>ある地域の1年間の人口動態を調べる際、必要でないのはどれか。1つ選べ。<br><br>1. 出生数<br>2. 死亡数<br>3. 老年人口<br>4. 婚姻数<br>5. 離婚数	<b>正答：3</b><br>老年人口<br><br>テーマ：保健統計・人口（10年4問・4/10回）	薬剤師国家試験 必須問題 科目::衛生 テーマ::保健統計_人口 第104回 flag::否定形
【第104回 問21】衛生・環境衛生<br><br>次のうち、地球温暖化係数は最も小さいが、地球温暖化への寄与度が最も大きいのはどれか。1つ選べ。<br><br>1. メタン<br>2. 二酸化炭素<br>3. 一酸化二窒素<br>4. ハイドロフルオロカーボン<br>5. 六フッ化硫黄	<b>正答：2</b><br>二酸化炭素<br><br>テーマ：環境衛生（10年22問・10/10回）	薬剤師国家試験 必須問題 科目::衛生 テーマ::環境衛生 第104回
【第104回 問22】衛生・化学物質の毒性・解毒<br><br>化学物質の審査及び製造等の規制に関する法律（化審法）で定める第一種特定化学物質はどれか。1つ選べ。<br><br>1. クロロホルム<br>2. 四塩化炭素<br>3. ポリ塩化ビフェニル<br>4. 2 , 3 , 7 , 8︲テトラクロロジベンゾ︲p︲ジオキシン<br>5. スクラロース	<b>正答：3</b><br>ポリ塩化ビフェニル<br><br>テーマ：化学物質の毒性・解毒（10年20問・10/10回）	薬剤師国家試験 必須問題 科目::衛生 テーマ::化学物質の毒性_解毒 第104回
【第104回 問23】衛生・化学物質の毒性・解毒<br><br>湖沼の富栄養化の進行に伴い、アオコを形成する藍藻類が産生し、肝毒性を示す物質はどれか。1つ選べ。<br><br>1. ペンタクロロフェノール<br>2. ジクロラミン<br>3. ミクロシスチン<br>4. ジェオスミン<br>5. 2︲メチルイソボルネオール	<b>正答：3</b><br>ミクロシスチン<br><br>テーマ：化学物質の毒性・解毒（10年20問・10/10回）	薬剤師国家試験 必須問題 科目::衛生 テーマ::化学物質の毒性_解毒 第104回
【第104回 問24】衛生・環境衛生<br><br>体内組織の酸素欠乏を起こしやすく、建築物環境衛生管理基準が10 ppm 以下となっている室内汚染物質はどれか。1つ選べ。<br><br>1. 一酸化炭素<br>2. 二酸化炭素<br>3. アンモニア<br>4. 二酸化窒素<br>5. 二酸化硫黄	<b>正答：1</b><br>一酸化炭素<br><br>テーマ：環境衛生（10年22問・10/10回）	薬剤師国家試験 必須問題 科目::衛生 テーマ::環境衛生 第104回
【第104回 問25】衛生・環境衛生<br><br>水域における生活環境の保全に関する環境基準において、河川にのみ定められている項目はどれか。1つ選べ。<br><br>1. 水素イオン濃度（pH）<br>2. 生物化学的酸素要求量（BOD）<br>3. 化学的酸素要求量（COD）<br>4. 浮遊物質量（SS）<br>5. 溶存酸素量（DO）	<b>正答：2</b><br>生物化学的酸素要求量（BOD）<br><br>テーマ：環境衛生（10年22問・10/10回）	薬剤師国家試験 必須問題 科目::衛生 テーマ::環境衛生 第104回
【第104回 問26】薬理・薬理学総論<br><br>アゴニストの用量︲反応曲線が低用量側にあるほど値が大きいのはどれか。1つ選べ。<br><br>1. ED50<br>2. LD50<br>3. KD<br>4. pA2<br>5. pD2	<b>正答：5</b><br>pD2<br><br>テーマ：薬理学総論（10年9問・5/10回）	薬剤師国家試験 必須問題 科目::薬理 テーマ::薬理学総論 第104回
【第104回 問27】薬理・自律神経作用薬<br><br>ムスカリン性アセチルコリン受容体を選択的に刺激することで、消化管や膀胱の運動を亢進するのはどれか。1つ選べ。<br><br>1. ベタネコール<br>2. オキシブチニン<br>3. チオトロピウム<br>4. ネオスチグミン<br>5. ピレンゼピン	<b>正答：1</b><br>ベタネコール<br><br>テーマ：自律神経作用薬（10年38問・10/10回）	薬剤師国家試験 必須問題 科目::薬理 テーマ::自律神経作用薬 第104回
【第104回 問28】薬理・自律神経作用薬<br><br>自律神経節を遮断した時、交感神経節後線維の神経終末からのアセチルコリンの遊離が低下する効果器として、最も適切なのはどれか。1つ選べ。<br><br>1. 心臓<br>2. 汗腺<br>3. 毛様体<br>4. 消化管<br>5. 瞳孔	<b>正答：2</b><br>汗腺<br><br>テーマ：自律神経作用薬（10年38問・10/10回）	薬剤師国家試験 必須問題 科目::薬理 テーマ::自律神経作用薬 第104回
【第104回 問29】薬理・薬理学総論<br><br>メラトニン受容体を刺激することで不眠症における入眠困難を改善するのはどれか。1つ選べ。<br><br>1. ブロモバレリル尿素<br>2. ゾルピデム<br>3. スボレキサント<br>4. リルマザホン<br>5. ラメルテオン	<b>正答：5</b><br>ラメルテオン<br><br>テーマ：薬理学総論（10年9問・5/10回）	薬剤師国家試験 必須問題 科目::薬理 テーマ::薬理学総論 第104回
【第104回 問30】薬理・中枢神経作用薬<br><br>主に電位依存性 Na+ チャネルを遮断することで抗てんかん作用を示すのはどれか。1つ選べ。<br><br>1. エトスクシミド<br>2. ジアゼパム<br>3. ラモトリギン<br>4. ガバペンチン<br>5. フェノバルビタール	<b>正答：3</b><br>ラモトリギン<br><br>テーマ：中枢神経作用薬（10年25問・9/10回）	薬剤師国家試験 必須問題 科目::薬理 テーマ::中枢神経作用薬 第104回
【第104回 問31】薬理・循環器作用薬<br><br>Ca2+ チャネルを遮断することで抗不整脈作用を示すのはどれか。1つ選べ。<br><br>1. アテノロール<br>2. フレカイニド<br>3. リドカイン<br>4. ソタロール<br>5. ベラパミル	<b>正答：5</b><br>ベラパミル<br><br>テーマ：循環器作用薬（10年15問・9/10回）	薬剤師国家試験 必須問題 科目::薬理 テーマ::循環器作用薬 第104回
【第104回 問32】薬理・中枢神経作用薬<br><br>c︲アミノ酪酸 GABAA 受容体のベンゾジアゼピン結合部位に結合し、ベンゾジアゼピン系薬による呼吸抑制を改善するのはどれか。1つ選べ。<br><br>1. デキストロメトルファン<br>2. アセチルシステイン<br>3. ドキサプラム<br>4. フルマゼニル<br>5. イプラトロピウム	<b>正答：4</b><br>フルマゼニル<br><br>テーマ：中枢神経作用薬（10年25問・9/10回）	薬剤師国家試験 必須問題 科目::薬理 テーマ::中枢神経作用薬 第104回
【第104回 問33】薬理・自律神経作用薬<br><br>モサプリドによる消化管運動亢進の作用機序はどれか。1つ選べ。<br><br>1. セロトニン5︲HT3受容体遮断<br>2. セロトニン5︲HT4受容体刺激<br>3. オピオイド n 受容体刺激<br>4. アセチルコリンエステラーゼ阻害<br>5. ムスカリン性アセチルコリン M3受容体刺激	<b>正答：2</b><br>セロトニン5︲HT4受容体刺激<br><br>テーマ：自律神経作用薬（10年38問・10/10回）	薬剤師国家試験 必須問題 科目::薬理 テーマ::自律神経作用薬 第104回
【第104回 問34】薬理・中枢神経作用薬<br><br>カモスタットの急性膵炎治療効果に関わる作用機序はどれか。1つ選べ。<br><br>1. H+，K+︲ATPase 阻害<br>2. セロトニン5︲HT3受容体遮断<br>3. ヒスタミン H2受容体遮断<br>4. タンパク質分解酵素阻害<br>5. シクロオキシゲナーゼ阻害	<b>正答：4</b><br>タンパク質分解酵素阻害<br><br>テーマ：中枢神経作用薬（10年25問・9/10回）	薬剤師国家試験 必須問題 科目::薬理 テーマ::中枢神経作用薬 第104回
【第104回 問35】薬理・未分類<br><br>キサンチンオキシダーゼを選択的に阻害するのはどれか。1つ選べ。<br><br>1. ベンズブロマロン<br>2. アロプリノール<br>3. コルヒチン<br>4. ラスブリカーゼ<br>5. プロベネシド	<b>正答：2</b><br>アロプリノール<br><br>テーマ：未分類（10年9問・6/10回）	薬剤師国家試験 必須問題 科目::薬理 テーマ::未分類 第104回
【第104回 問36】薬理・血液・造血薬<br><br>サルポグレラートによる血小板凝集抑制の作用機序はどれか。1つ選べ。<br><br>1. プロスタノイド IP 受容体刺激<br>2. セロトニン5︲HT2受容体遮断<br>3. シクロオキシゲナーゼ阻害<br>4. ホスホジエステラーゼⅢ阻害<br>5. トロンボキサン合成酵素阻害	<b>正答：2</b><br>セロトニン5︲HT2受容体遮断<br><br>テーマ：血液・造血薬（10年5問・5/10回）	薬剤師国家試験 必須問題 科目::薬理 テーマ::血液_造血薬 第104回
【第104回 問37】薬理・薬理学総論<br><br>TNF︲a に特異的に結合することで、TNF︲a とその受容体の結合を阻害するのはどれか。1つ選べ。<br><br>1. インフリキシマブ<br>2. プレドニゾロン<br>3. トシリズマブ<br>4. アバタセプト<br>5. トファシチニブ	<b>正答：1</b><br>インフリキシマブ<br><br>テーマ：薬理学総論（10年9問・5/10回）	薬剤師国家試験 必須問題 科目::薬理 テーマ::薬理学総論 第104回
【第104回 問38】薬理・炎症・アレルギー・免疫薬<br><br>プロスタノイド TP 受容体を遮断することで、抗アレルギー作用を示すのはどれか。1つ選べ。<br><br>1. プランルカスト<br>2. オザグレル<br>3. セラトロダスト<br>4. クロモグリク酸<br>5. メキタジン	<b>正答：3</b><br>セラトロダスト<br><br>テーマ：炎症・アレルギー・免疫薬（10年5問・4/10回）	薬剤師国家試験 必須問題 科目::薬理 テーマ::炎症_アレルギー_免疫薬 第104回
【第104回 問39】薬理・抗菌・抗ウイルス・抗真菌薬<br><br>アンピシリンによる抗菌作用の標的はどれか。1つ選べ。<br><br>1. 細胞膜リン脂質<br>2. DNA 依存性 RNA ポリメラーゼ<br>3. リボソーム30S サブユニット<br>4. リボソーム50S サブユニット<br>5. トランスペプチダーゼ	<b>正答：5</b><br>トランスペプチダーゼ<br><br>テーマ：抗菌・抗ウイルス・抗真菌薬（10年5問・5/10回）	薬剤師国家試験 必須問題 科目::薬理 テーマ::抗菌_抗ウイルス_抗真菌薬 第104回
【第104回 問40】薬理・自律神経作用薬　📐図・構造式<br><br>以下に示す化学構造の薬物が結合し、鎮痛作用を引き起こす作用点はどれか。1つ選べ。 CH3 H N H HO O H H OH<br><br>1. c︲アミノ酪酸 GABAA 受容体︲Cl- チャネル複合体<br>2. ドパミン D2受容体<br>3. オピオイド n 受容体<br>4. ムスカリン性アセチルコリン受容体<br>5. シクロオキシゲナーゼ	<b>正答：3</b><br>オピオイド n 受容体<br><br>テーマ：自律神経作用薬（10年38問・10/10回）	薬剤師国家試験 必須問題 科目::薬理 テーマ::自律神経作用薬 第104回 flag::図
【第104回 問41】薬剤・薬物動態パラメータ・計算　📐図・構造式<br><br>経口投与された薬物のバイオアベイラビリティを表す式はどれか。1つ選べ。ただし、消化管管腔内からの吸収率を Fa、消化管及び肝臓での消失を免れた割合をそれぞれ Fg 及び Fh とする。<br><br>1. Fa・Fg/Fh<br>2. Fa・Fg・Fh<br>3. Fa・Fg・（1 - Fh）<br>4. Fa・（Fg + Fh）<br>5. Fa + Fg + Fh	<b>正答：2</b><br>Fa・Fg・Fh<br><br>テーマ：薬物動態パラメータ・計算（10年26問・10/10回）	薬剤師国家試験 必須問題 科目::薬剤 テーマ::薬物動態パラメータ_計算 第104回 flag::図
【第104回 問42】薬剤・吸収・膜透過<br><br>一次性能動輸送担体はどれか。1つ選べ。<br><br>1. グルコーストランスポーター GLUT1<br>2. P︲糖タンパク質 MDR1<br>3. 有機アニオントランスポーター OAT1<br>4. H+/ペプチド共輸送体 PEPT1<br>5. Na+/グルコース共輸送体 SGLT2	<b>正答：2</b><br>P︲糖タンパク質 MDR1<br><br>テーマ：吸収・膜透過（10年28問・10/10回）	薬剤師国家試験 必須問題 科目::薬剤 テーマ::吸収_膜透過 第104回
【第104回 問43】薬剤・未分類<br><br>母体から胎児への移行性が最も低いのはどれか。1つ選べ。<br><br>1. インスリン<br>2. エタノール<br>3. グルコース<br>4. チオペンタール<br>5. バルプロ酸	<b>正答：1</b><br>インスリン<br><br>テーマ：未分類（10年6問・5/10回）	薬剤師国家試験 必須問題 科目::薬剤 テーマ::未分類 第104回
【第104回 問44】薬剤・代謝<br><br>体内からの消失が主に CYP1A2による代謝である薬物はどれか。1つ選べ。<br><br>1. テオフィリン<br>2. デキストロメトルファン<br>3. ファモチジン<br>4. フェロジピン<br>5. ワルファリン	<b>正答：1</b><br>テオフィリン<br><br>テーマ：代謝（10年14問・10/10回）	薬剤師国家試験 必須問題 科目::薬剤 テーマ::代謝 第104回
【第104回 問45】薬剤・排泄<br><br>ネフロンでの能動的な薬物の分泌を行う主要な部位はどれか。1つ選べ。<br><br>1. 遠位尿細管<br>2. 近位尿細管<br>3. 糸球体<br>4. ヘンレ係蹄上行脚<br>5. ボーマン嚢	<b>正答：2</b><br>近位尿細管<br><br>テーマ：排泄（10年7問・7/10回）	薬剤師国家試験 必須問題 科目::薬剤 テーマ::排泄 第104回
【第104回 問46】薬剤・薬物動態パラメータ・計算　🔢計算<br><br>体内動態が線形1︲コンパートメントモデルに従う薬物100 mg を急速静脈内投与したとき、投与直後の血中濃度が2 mg/L、消失速度定数が0 . 1 hr―1であった。この薬物の全身クリアランス（L/hr）はどれか。1つ選べ。<br><br>1. 0 .<br>2. 2 2<br>3. 5<br>4. 7<br>5. 20	<b>正答：3</b><br>5<br><br>テーマ：薬物動態パラメータ・計算（10年26問・10/10回）	薬剤師国家試験 必須問題 科目::薬剤 テーマ::薬物動態パラメータ_計算 第104回 flag::計算
【第104回 問47】薬剤・薬物動態パラメータ・計算　🔢計算 📐図・構造式<br><br>体内動態が線形1︲コンパートメントモデルに従う薬物を静脈内定速注入したとき、血中濃度は下図のような推移を示した。この薬物の消失半減期（hr）に最も近い値はどれか。1つ選べ。） L m / g n （度濃物薬中血20 15 10 5 0 1 2 2 4 3 6 4 8 5 10 0 2 4 6 8 10 12 14 16時間（hr）<br><br>※図・構造式が必要な問題です	<b>正答：1</b><br><br>テーマ：薬物動態パラメータ・計算（10年26問・10/10回）	薬剤師国家試験 必須問題 科目::薬剤 テーマ::薬物動態パラメータ_計算 第104回 flag::計算 flag::図
【第104回 問48】薬剤・相互作用・TDM<br><br>治療薬物モニタリング（TDM）の実施が推奨される薬物はどれか。1つ選べ。<br><br>1. イトラコナゾール<br>2. オメプラゾール<br>3. バンコマイシン<br>4. ベラパミル<br>5. モルヒネ	<b>正答：3</b><br>バンコマイシン<br><br>テーマ：相互作用・TDM（10年5問・5/10回）	薬剤師国家試験 必須問題 科目::薬剤 テーマ::相互作用_TDM 第104回
【第104回 問49】薬剤・製剤各論・製剤総則　📐図・構造式<br><br>日本薬局方に基づき、溶液の濃度を（1 → 10）で表したときの意味として正しいのはどれか。1つ選べ。1固形の薬品<br><br>1. g を溶媒10 mL に溶かす。<br>2. 液状の薬品1 g を溶媒10 mL に溶かす。<br>3. 固形の薬品1 g を溶媒に溶かして全量を10 g にする。<br>4. 液状の薬品1 g を溶媒に溶かして全量を10 g にする。<br>5. 固形の薬品1 g を溶媒に溶かして全量を10 mL にする。	<b>正答：5</b><br>固形の薬品1 g を溶媒に溶かして全量を10 mL にする。<br><br>テーマ：製剤各論・製剤総則（10年13問・8/10回）	薬剤師国家試験 必須問題 科目::薬剤 テーマ::製剤各論_製剤総則 第104回 flag::図
【第104回 問50】薬剤・製剤材料の物性<br><br>点眼剤の保存剤として利用される陽イオン性界面活性剤はどれか。1つ選べ。<br><br>1. ラウリル硫酸ナトリウム<br>2. レシチン<br>3. タウロコール酸<br>4. ベンザルコニウム塩化物<br>5. ラウロマクロゴール	<b>正答：4</b><br>ベンザルコニウム塩化物<br><br>テーマ：製剤材料の物性（10年35問・10/10回）	薬剤師国家試験 必須問題 科目::薬剤 テーマ::製剤材料の物性 第104回
【第104回 問51】薬剤・製剤材料の物性<br><br>せん断応力の増加に伴い、みかけ粘度が増大するのはどれか。1つ選べ。<br><br>1. ビンガム流動<br>2. 準塑性流動<br>3. ダイラタント流動<br>4. 準粘性流動<br>5. ニュートン流動	<b>正答：3</b><br>ダイラタント流動<br><br>テーマ：製剤材料の物性（10年35問・10/10回）	薬剤師国家試験 必須問題 科目::薬剤 テーマ::製剤材料の物性 第104回
【第104回 問52】薬剤・製剤各論・製剤総則<br><br>皮膚に適用する液剤はどれか。1つ選べ。<br><br>1. エリキシル剤<br>2. シロップ剤<br>3. パップ剤<br>4. リニメント剤<br>5. リモナーデ剤	<b>正答：4</b><br>リニメント剤<br><br>テーマ：製剤各論・製剤総則（10年13問・8/10回）	薬剤師国家試験 必須問題 科目::薬剤 テーマ::製剤各論_製剤総則 第104回
【第104回 問53】薬剤・製剤材料の物性<br><br>日本薬局方に規定されている全ての注射剤の安全性の確保に必須なのはどれか。1つ選べ。<br><br>1. 等張化剤の添加<br>2. 着色剤の添加<br>3. 保存剤の添加<br>4. エンドトキシンの除去<br>5. 無菌性の保証	<b>正答：5</b><br>無菌性の保証<br><br>テーマ：製剤材料の物性（10年35問・10/10回）	薬剤師国家試験 必須問題 科目::薬剤 テーマ::製剤材料の物性 第104回
【第104回 問54】薬剤・製剤材料の物性<br><br>日本薬局方の溶出試験法が適用されるのはどれか。1つ選べ。<br><br>1. 透析用剤<br>2. 坐剤<br>3. 軟膏剤<br>4. 点耳剤<br>5. 散剤	<b>正答：5</b><br>散剤<br><br>テーマ：製剤材料の物性（10年35問・10/10回）	薬剤師国家試験 必須問題 科目::薬剤 テーマ::製剤材料の物性 第104回
【第104回 問55】薬剤・代謝<br><br>消化管吸収後、体内で CYP2A6によって代謝され、抗悪性腫瘍作用を示すプロドラッグはどれか。1つ選べ。<br><br>1. テガフール<br>2. イリノテカン<br>3. ドキシフルリジン<br>4. サラゾスルファピリジン<br>5. アラセプリル	<b>正答：1</b><br>テガフール<br><br>テーマ：代謝（10年14問・10/10回）	薬剤師国家試験 必須問題 科目::薬剤 テーマ::代謝 第104回
